	action
(8, 19, ACTIVE)	ADOPT
(9, 0, IRRELEVANT)	WAIT
(9, 0, RELEVANT)	WAIT
(9, 0, ACTIVE)	WAIT
(9, 1, IRRELEVANT)	WAIT
(9, 1, RELEVANT)	MATCH
(9, 1, ACTIVE)	WAIT
(9, 2, IRRELEVANT)	WAIT
(9, 2, RELEVANT)	MATCH
(9, 2, ACTIVE)	WAIT
(9, 3, IRRELEVANT)	WAIT
(9, 3, RELEVANT)	MATCH
(9, 3, ACTIVE)	WAIT
(9, 4, IRRELEVANT)	WAIT
(9, 4, RELEVANT)	MATCH
(9, 4, ACTIVE)	WAIT
(9, 5, IRRELEVANT)	WAIT
(9, 5, RELEVANT)	MATCH
(9, 5, ACTIVE)	WAIT
(9, 6, IRRELEVANT)	WAIT
(9, 6, RELEVANT)	MATCH
(9, 6, ACTIVE)	WAIT
(9, 7, IRRELEVANT)	WAIT
(9, 7, RELEVANT)	MATCH
(9, 7, ACTIVE)	WAIT
(9, 8, IRRELEVANT)	OVERRIDE
(9, 8, RELEVANT)	OVERRIDE
(9, 8, ACTIVE)	OVERRIDE
(9, 9, IRRELEVANT)	WAIT
(9, 9, RELEVANT)	MATCH
(9, 9, ACTIVE)	WAIT
(9, 10, IRRELEVANT)	WAIT
(9, 10, RELEVANT)	WAIT
(9, 10, ACTIVE)	WAIT
(9, 11, IRRELEVANT)	ADOPT
(9, 11, RELEVANT)	ADOPT
(9, 11, ACTIVE)	WAIT
(9, 12, IRRELEVANT)	ADOPT
(9, 12, RELEVANT)	ADOPT
(9, 12, ACTIVE)	WAIT
(9, 13, IRRELEVANT)	ADOPT
(9, 13, RELEVANT)	ADOPT
(9, 13, ACTIVE)	WAIT
(9, 14, IRRELEVANT)	ADOPT
(9, 14, RELEVANT)	ADOPT
(9, 14, ACTIVE)	WAIT
(9, 15, IRRELEVANT)	ADOPT
(9, 15, RELEVANT)	ADOPT
(9, 15, ACTIVE)	WAIT
(9, 16, IRRELEVANT)	ADOPT
(9, 16, RELEVANT)	ADOPT
(9, 16, ACTIVE)	WAIT
(9, 17, IRRELEVANT)	ADOPT
(9, 17, RELEVANT)	ADOPT
(9, 17, ACTIVE)	WAIT
(9, 18, IRRELEVANT)	ADOPT
(9, 18, RELEVANT)	ADOPT
(9, 18, ACTIVE)	WAIT
(9, 19, IRRELEVANT)	ADOPT
(9, 19, RELEVANT)	ADOPT
(9, 19, ACTIVE)	ADOPT
(10, 0, IRRELEVANT)	WAIT
(10, 0, RELEVANT)	WAIT
(10, 0, ACTIVE)	WAIT
(10, 1, IRRELEVANT)	WAIT
(10, 1, RELEVANT)	MATCH
(10, 1, ACTIVE)	WAIT
(10, 2, IRRELEVANT)	WAIT
(10, 2, RELEVANT)	MATCH
(10, 2, ACTIVE)	WAIT
(10, 3, IRRELEVANT)	WAIT
(10, 3, RELEVANT)	MATCH
(10, 3, ACTIVE)	WAIT
(10, 4, IRRELEVANT)	WAIT
(10, 4, RELEVANT)	MATCH
(10, 4, ACTIVE)	WAIT
(10, 5, IRRELEVANT)	WAIT
(10, 5, RELEVANT)	MATCH
(10, 5, ACTIVE)	WAIT
(10, 6, IRRELEVANT)	WAIT
(10, 6, RELEVANT)	MATCH
(10, 6, ACTIVE)	WAIT
(10, 7, IRRELEVANT)	WAIT
(10, 7, RELEVANT)	MATCH
(10, 7, ACTIVE)	WAIT
(10, 8, IRRELEVANT)	WAIT
(10, 8, RELEVANT)	MATCH
(10, 8, ACTIVE)	WAIT
(10, 9, IRRELEVANT)	OVERRIDE
(10, 9, RELEVANT)	OVERRIDE
(10, 9, ACTIVE)	OVERRIDE
(10, 10, IRRELEVANT)	WAIT
(10, 10, RELEVANT)	MATCH
(10, 10, ACTIVE)	WAIT
(10, 11, IRRELEVANT)	WAIT
(10, 11, RELEVANT)	WAIT
(10, 11, ACTIVE)	WAIT
(10, 12, IRRELEVANT)	ADOPT
(10, 12, RELEVANT)	ADOPT
(10, 12, ACTIVE)	WAIT
(10, 13, IRRELEVANT)	ADOPT
(10, 13, RELEVANT)	ADOPT
(10, 13, ACTIVE)	WAIT
(10, 14, IRRELEVANT)	ADOPT
(10, 14, RELEVANT)	ADOPT
(10, 14, ACTIVE)	WAIT
(10, 15, IRRELEVANT)	ADOPT
(10, 15, RELEVANT)	ADOPT
(10, 15, ACTIVE)	WAIT
(10, 16, IRRELEVANT)	ADOPT
(10, 16, RELEVANT)	ADOPT
(10, 16, ACTIVE)	WAIT
(10, 17, IRRELEVANT)	ADOPT
(10, 17, RELEVANT)	ADOPT
(10, 17, ACTIVE)	WAIT
(10, 18, IRRELEVANT)	ADOPT
(10, 18, RELEVANT)	ADOPT
(10, 18, ACTIVE)	WAIT
(10, 19, IRRELEVANT)	ADOPT
(10, 19, RELEVANT)	ADOPT
(10, 19, ACTIVE)	ADOPT
(11, 0, IRRELEVANT)	WAIT
(11, 0, RELEVANT)	WAIT
(11, 0, ACTIVE)	WAIT
(11, 1, IRRELEVANT)	WAIT
(11, 1, RELEVANT)	MATCH
(11, 1, ACTIVE)	WAIT
(11, 2, IRRELEVANT)	WAIT
(11, 2, RELEVANT)	MATCH
(11, 2, ACTIVE)	WAIT
